PersonId,FullName,OrganizationName,JobTitle,WorkLocation,Email
P036,吉田 洋平,コンサルティング統括部 DX戦略室,コンサルタント,仙台,yoshida.yohei036@contoso-sier.example.com
P037,藤田 駿,デジタルソリューション本部 データ&AI部,シニアコンサルタント,東京,fujita.shun037@contoso-sier.example.com
P038,鈴木 香織,金融システム事業部 銀行ソリューション部,マネージャー,東京,suzuki.kaori038@contoso-sier.example.com
P039,坂本 沙織,公共システム事業部 自治体ソリューション部,プリンシパル,東京,sakamoto.saori039@contoso-sier.example.com
P040,中村 陽子,金融システム事業部 銀行ソリューション部,マネージャー,東京,nakamura.yoko040@contoso-sier.example.com
P041,佐藤 彩,産業システム事業部 製造ソリューション部,シニアマネージャー,東京,sato.aya041@contoso-sier.example.com
P042,岡本 奈々,産業システム事業部 流通ソリューション部,コンサルタント,札幌,okamoto.nana042@contoso-sier.example.com
P043,山田 亮,産業システム事業部 流通ソリューション部,シニアコンサルタント,仙台,yamada.ryo043@contoso-sier.example.com
P044,高橋 洋平,産業システム事業部 流通ソリューション部,コンサルタント,東京,takahashi.yohei044@contoso-sier.example.com
P045,佐藤 香織,金融システム事業部 銀行ソリューション部,アソシエイト,名古屋,sato.kaori045@contoso-sier.example.com
P046,山口 陽介,産業システム事業部 流通ソリューション部,コンサルタント,大阪,yamaguchi.yosuke046@contoso-sier.example.com
P047,近藤 圭吾,コンサルティング統括部 DX戦略室,コンサルタント,仙台,kondo.keigo047@contoso-sier.example.com
P048,後藤 颯,産業システム事業部 製造ソリューション部,コンサルタント,仙台,goto.hayate048@contoso-sier.example.com
P049,橋本 隆之,公共システム事業部 自治体ソリューション部,シニアコンサルタント,札幌,hashimoto.takayuki049@contoso-sier.example.com
P050,前田 紗英,デジタルソリューション本部 クラウド基盤部,シニアコンサルタント,大阪,maeda.sae050@contoso-sier.example.com
P051,木村 凛,デジタルソリューション本部 データ&AI部,マネージャー,名古屋,kimura.rin051@contoso-sier.example.com
P052,長谷川 隆之,産業システム事業部 製造ソリューション部,コンサルタント,大阪,hasegawa.takayuki052@contoso-sier.example.com
P053,西村 沙織,デジタルソリューション本部 データ&AI部,マネージャー,東京,nishimura.saori053@contoso-sier.example.com
P054,橋本 光,産業システム事業部 流通ソリューション部,コンサルタント,東京,hashimoto.hikaru054@contoso-sier.example.com
P055,松本 光,産業システム事業部 製造ソリューション部,マネージャー,東京,matsumoto.hikaru055@contoso-sier.example.com
P056,山崎 和樹,金融システム事業部 銀行ソリューション部,マネージャー,名古屋,yamazaki.kazuki056@contoso-sier.example.com
P057,井上 咲希,産業システム事業部 製造ソリューション部,コンサルタント,東京,inoue.saki057@contoso-sier.example.com
P058,岡本 愛,産業システム事業部 製造ソリューション部,アソシエイト,大阪,okamoto.ai058@contoso-sier.example.com
P059,井上 麻衣,産業システム事業部 製造ソリューション部,シニアコンサルタント,大阪,inoue.mai059@contoso-sier.example.com
P060,岡田 凛,産業システム事業部 製造ソリューション部,アソシエイト,東京,okada.rin060@contoso-sier.example.com
P061,中村 奈々,コンサルティング統括部 DX戦略室,マネージャー,東京,nakamura.nana061@contoso-sier.example.com
P062,林 紗英,デジタルソリューション本部 クラウド基盤部,マネージャー,札幌,hayashi.sae062@contoso-sier.example.com
P063,山田 咲希,デジタルソリューション本部 クラウド基盤部,プリンシパル,仙台,yamada.saki063@contoso-sier.example.com
P064,高橋 翔太,コンサルティング統括部 DX戦略室,コンサルタント,東京,takahashi.shota064@contoso-sier.example.com
P065,藤井 俊介,デジタルソリューション本部 データ&AI部,マネージャー,東京,fujii.shunsuke065@contoso-sier.example.com
P066,藤田 愛,産業システム事業部 製造ソリューション部,シニアコンサルタント,大阪,fujita.ai066@contoso-sier.example.com
P067,鈴木 詩織,産業システム事業部 流通ソリューション部,コンサルタント,東京,suzuki.shiori067@contoso-sier.example.com
P068,石川 千尋,デジタルソリューション本部 データ&AI部,アソシエイト,大阪,ishikawa.chihiro068@contoso-sier.example.com
P069,斎藤 千尋,デジタルソリューション本部 データ&AI部,アソシエイト,福岡,saito.chihiro069@contoso-sier.example.com
P070,橋本 紗英,デジタルソリューション本部 クラウド基盤部,シニアコンサルタント,仙台,hashimoto.sae070@contoso-sier.example.com
P071,佐々木 紗英,産業システム事業部 製造ソリューション部,コンサルタント,東京,sasaki.sae071@contoso-sier.example.com
P072,吉田 楓,デジタルソリューション本部 データ&AI部,コンサルタント,福岡,yoshida.kaede072@contoso-sier.example.com
P073,山崎 涼介,デジタルソリューション本部 データ&AI部,シニアコンサルタント,大阪,yamazaki.ryosuke073@contoso-sier.example.com
P074,斎藤 真央,デジタルソリューション本部 データ&AI部,シニアコンサルタント,仙台,saito.mao074@contoso-sier.example.com
P075,西村 彩,デジタルソリューション本部 データ&AI部,シニアマネージャー,大阪,nishimura.aya075@contoso-sier.example.com
P076,林 圭吾,公共システム事業部 自治体ソリューション部,シニアマネージャー,東京,hayashi.keigo076@contoso-sier.example.com
P077,森 駿,公共システム事業部 自治体ソリューション部,コンサルタント,大阪,mori.shun077@contoso-sier.example.com
P078,中村 直樹,コンサルティング統括部 DX戦略室,マネージャー,名古屋,nakamura.naoki078@contoso-sier.example.com
P079,林 亮,産業システム事業部 流通ソリューション部,シニアマネージャー,東京,hayashi.ryo079@contoso-sier.example.com
P080,清水 拓也,コンサルティング統括部 DX戦略室,シニアコンサルタント,福岡,shimizu.takuya080@contoso-sier.example.com
P081,後藤 美咲,デジタルソリューション本部 データ&AI部,シニアコンサルタント,仙台,goto.misaki081@contoso-sier.example.com
P082,坂本 颯,デジタルソリューション本部 クラウド基盤部,シニアマネージャー,福岡,sakamoto.hayate082@contoso-sier.example.com
P083,石川 俊介,産業システム事業部 製造ソリューション部,コンサルタント,東京,ishikawa.shunsuke083@contoso-sier.example.com
P084,林 泰輝,産業システム事業部 製造ソリューション部,コンサルタント,東京,hayashi.taiki084@contoso-sier.example.com
P085,佐藤 隆之,デジタルソリューション本部 データ&AI部,プリンシパル,東京,sato.takayuki085@contoso-sier.example.com
P086,青木 拓也,デジタルソリューション本部 データ&AI部,シニアマネージャー,福岡,aoki.takuya086@contoso-sier.example.com
P087,藤井 光,公共システム事業部 自治体ソリューション部,マネージャー,名古屋,fujii.hikaru087@contoso-sier.example.com
P088,斎藤 颯,産業システム事業部 流通ソリューション部,マネージャー,仙台,saito.hayate088@contoso-sier.example.com
P089,青木 大輔,公共システム事業部 自治体ソリューション部,マネージャー,東京,aoki.daisuke089@contoso-sier.example.com
P090,山本 隆之,デジタルソリューション本部 データ&AI部,コンサルタント,東京,yamamoto.takayuki090@contoso-sier.example.com
P091,青木 遥,公共システム事業部 自治体ソリューション部,コンサルタント,福岡,aoki.haruka091@contoso-sier.example.com
P092,吉田 航,産業システム事業部 製造ソリューション部,アソシエイト,東京,yoshida.wataru092@contoso-sier.example.com
P093,佐藤 光,デジタルソリューション本部 クラウド基盤部,マネージャー,札幌,sato.hikaru093@contoso-sier.example.com
P094,森 航,デジタルソリューション本部 クラウド基盤部,プリンシパル,大阪,mori.wataru094@contoso-sier.example.com
P095,林 陽介,デジタルソリューション本部 データ&AI部,コンサルタント,仙台,hayashi.yosuke095@contoso-sier.example.com
P096,山田 愛,公共システム事業部 自治体ソリューション部,テクニカルフェロー,東京,yamada.ai096@contoso-sier.example.com
P097,山崎 圭吾,デジタルソリューション本部 データ&AI部,シニアマネージャー,福岡,yamazaki.keigo097@contoso-sier.example.com
P098,小林 拓也,金融システム事業部 銀行ソリューション部,シニアコンサルタント,東京,kobayashi.takuya098@contoso-sier.example.com
P099,長谷川 亮,産業システム事業部 流通ソリューション部,アソシエイト,仙台,hasegawa.ryo099@contoso-sier.example.com
P100,石井 光,産業システム事業部 製造ソリューション部,アソシエイト,福岡,ishii.hikaru100@contoso-sier.example.com
P101,近藤 奈々,デジタルソリューション本部 データ&AI部,テクニカルフェロー,東京,kondo.nana101@contoso-sier.example.com
P102,山崎 楓,デジタルソリューション本部 データ&AI部,アソシエイト,福岡,yamazaki.kaede102@contoso-sier.example.com
P103,山口 結衣,デジタルソリューション本部 クラウド基盤部,マネージャー,大阪,yamaguchi.yui103@contoso-sier.example.com
P104,坂本 由紀,コンサルティング統括部 DX戦略室,シニアコンサルタント,福岡,sakamoto.yuki104@contoso-sier.example.com
P105,林 陽子,産業システム事業部 製造ソリューション部,コンサルタント,福岡,hayashi.yoko105@contoso-sier.example.com
P106,渡辺 凛,コンサルティング統括部 DX戦略室,コンサルタント,名古屋,watanabe.rin106@contoso-sier.example.com
P107,石井 凛,デジタルソリューション本部 データ&AI部,シニアマネージャー,名古屋,ishii.rin107@contoso-sier.example.com
P108,斎藤 翔太,公共システム事業部 自治体ソリューション部,マネージャー,仙台,saito.shota108@contoso-sier.example.com
P109,石井 翔太,公共システム事業部 自治体ソリューション部,シニアコンサルタント,札幌,ishii.shota109@contoso-sier.example.com
P110,斎藤 和樹,公共システム事業部 自治体ソリューション部,アソシエイト,札幌,saito.kazuki110@contoso-sier.example.com
P111,橋本 未来,公共システム事業部 自治体ソリューション部,シニアコンサルタント,札幌,hashimoto.mirai111@contoso-sier.example.com
P112,伊藤 亮,デジタルソリューション本部 データ&AI部,マネージャー,東京,ito.ryo112@contoso-sier.example.com
P113,藤井 駿,デジタルソリューション本部 データ&AI部,コンサルタント,福岡,fujii.shun113@contoso-sier.example.com
P114,木村 健太,コンサルティング統括部 DX戦略室,シニアマネージャー,大阪,kimura.kenta114@contoso-sier.example.com
P115,高橋 悠斗,デジタルソリューション本部 クラウド基盤部,コンサルタント,名古屋,takahashi.yuto115@contoso-sier.example.com
P116,橋本 美咲,デジタルソリューション本部 データ&AI部,シニアコンサルタント,東京,hashimoto.misaki116@contoso-sier.example.com
P117,前田 愛,デジタルソリューション本部 クラウド基盤部,コンサルタント,名古屋,maeda.ai117@contoso-sier.example.com
P118,石井 亮,金融システム事業部 銀行ソリューション部,シニアマネージャー,東京,ishii.ryo118@contoso-sier.example.com
P119,木村 颯,公共システム事業部 自治体ソリューション部,シニアコンサルタント,大阪,kimura.hayate119@contoso-sier.example.com
P120,山本 結衣,産業システム事業部 製造ソリューション部,アソシエイト,大阪,yamamoto.yui120@contoso-sier.example.com
P121,佐々木 楓,デジタルソリューション本部 クラウド基盤部,コンサルタント,東京,sasaki.kaede121@contoso-sier.example.com
P122,藤田 隆之,産業システム事業部 製造ソリューション部,コンサルタント,大阪,fujita.takayuki122@contoso-sier.example.com
P123,松本 誠,デジタルソリューション本部 データ&AI部,マネージャー,仙台,matsumoto.makoto123@contoso-sier.example.com
P124,中村 彩,デジタルソリューション本部 データ&AI部,シニアマネージャー,福岡,nakamura.aya124@contoso-sier.example.com
P125,藤井 翔太,公共システム事業部 自治体ソリューション部,シニアコンサルタント,札幌,fujii.shota125@contoso-sier.example.com
P126,長谷川 麻衣,コンサルティング統括部 DX戦略室,マネージャー,札幌,hasegawa.mai126@contoso-sier.example.com
P127,遠藤 由紀,産業システム事業部 流通ソリューション部,コンサルタント,大阪,endo.yuki127@contoso-sier.example.com
P128,石井 陽子,デジタルソリューション本部 データ&AI部,アソシエイト,東京,ishii.yoko128@contoso-sier.example.com
P129,小林 駿,公共システム事業部 自治体ソリューション部,シニアコンサルタント,東京,kobayashi.shun129@contoso-sier.example.com
P130,石川 和樹,産業システム事業部 製造ソリューション部,シニアコンサルタント,札幌,ishikawa.kazuki130@contoso-sier.example.com
P131,長谷川 泰輝,デジタルソリューション本部 クラウド基盤部,コンサルタント,大阪,hasegawa.taiki131@contoso-sier.example.com
P132,森 美咲,産業システム事業部 製造ソリューション部,シニアマネージャー,東京,mori.misaki132@contoso-sier.example.com
P133,鈴木 翔太,金融システム事業部 銀行ソリューション部,コンサルタント,東京,suzuki.shota133@contoso-sier.example.com
P134,高橋 航,金融システム事業部 銀行ソリューション部,コンサルタント,大阪,takahashi.wataru134@contoso-sier.example.com
P135,木村 洋平,産業システム事業部 流通ソリューション部,コンサルタント,東京,kimura.yohei135@contoso-sier.example.com
P136,加藤 隆之,金融システム事業部 銀行ソリューション部,マネージャー,大阪,kato.takayuki136@contoso-sier.example.com
P137,福田 香織,デジタルソリューション本部 データ&AI部,マネージャー,東京,fukuda.kaori137@contoso-sier.example.com
P138,西村 健太,デジタルソリューション本部 データ&AI部,アソシエイト,東京,nishimura.kenta138@contoso-sier.example.com
P139,長谷川 俊介,産業システム事業部 製造ソリューション部,コンサルタント,東京,hasegawa.shunsuke139@contoso-sier.example.com
P140,小林 美咲,産業システム事業部 製造ソリューション部,アソシエイト,東京,kobayashi.misaki140@contoso-sier.example.com
P141,松本 直樹,産業システム事業部 流通ソリューション部,シニアマネージャー,仙台,matsumoto.naoki141@contoso-sier.example.com
P142,青木 洋平,コンサルティング統括部 DX戦略室,シニアコンサルタント,大阪,aoki.yohei142@contoso-sier.example.com
P143,岡田 沙織,金融システム事業部 銀行ソリューション部,コンサルタント,福岡,okada.saori143@contoso-sier.example.com
P144,岡田 奈々,デジタルソリューション本部 データ&AI部,マネージャー,名古屋,okada.nana144@contoso-sier.example.com
P145,橋本 彩,産業システム事業部 流通ソリューション部,コンサルタント,札幌,hashimoto.aya145@contoso-sier.example.com
P146,西村 翔太,公共システム事業部 自治体ソリューション部,コンサルタント,札幌,nishimura.shota146@contoso-sier.example.com
P147,中村 真央,公共システム事業部 自治体ソリューション部,シニアマネージャー,名古屋,nakamura.mao147@contoso-sier.example.com
P148,斎藤 誠,産業システム事業部 流通ソリューション部,テクニカルフェロー,大阪,saito.makoto148@contoso-sier.example.com
P149,鈴木 隆之,産業システム事業部 製造ソリューション部,コンサルタント,東京,suzuki.takayuki149@contoso-sier.example.com
P150,太田 洋平,コンサルティング統括部 DX戦略室,コンサルタント,東京,ota.yohei150@contoso-sier.example.com
P151,太田 泰輝,産業システム事業部 製造ソリューション部,シニアコンサルタント,東京,ota.taiki151@contoso-sier.example.com
P152,坂本 大輔,コンサルティング統括部 DX戦略室,アソシエイト,大阪,sakamoto.daisuke152@contoso-sier.example.com
P153,小林 俊介,産業システム事業部 流通ソリューション部,アソシエイト,仙台,kobayashi.shunsuke153@contoso-sier.example.com
P154,池田 奈々,デジタルソリューション本部 データ&AI部,コンサルタント,大阪,ikeda.nana154@contoso-sier.example.com
P155,中村 亮,デジタルソリューション本部 クラウド基盤部,テクニカルフェロー,東京,nakamura.ryo155@contoso-sier.example.com
P156,近藤 洋平,公共システム事業部 自治体ソリューション部,シニアマネージャー,東京,kondo.yohei156@contoso-sier.example.com
P157,清水 由紀,金融システム事業部 銀行ソリューション部,アソシエイト,大阪,shimizu.yuki157@contoso-sier.example.com
P158,田中 泰輝,デジタルソリューション本部 データ&AI部,シニアマネージャー,東京,tanaka.taiki158@contoso-sier.example.com
P159,鈴木 健太,デジタルソリューション本部 クラウド基盤部,マネージャー,東京,suzuki.kenta159@contoso-sier.example.com
P160,佐藤 詩織,産業システム事業部 製造ソリューション部,プリンシパル,仙台,sato.shiori160@contoso-sier.example.com
P161,池田 結衣,公共システム事業部 自治体ソリューション部,プリンシパル,東京,ikeda.yui161@contoso-sier.example.com
P162,山崎 直樹,公共システム事業部 自治体ソリューション部,シニアコンサルタント,大阪,yamazaki.naoki162@contoso-sier.example.com
P163,山口 沙織,デジタルソリューション本部 データ&AI部,マネージャー,大阪,yamaguchi.saori163@contoso-sier.example.com
P164,伊藤 翔太,金融システム事業部 銀行ソリューション部,アソシエイト,東京,ito.shota164@contoso-sier.example.com
P165,福田 大輔,産業システム事業部 流通ソリューション部,シニアコンサルタント,福岡,fukuda.daisuke165@contoso-sier.example.com
P166,岡本 洋平,産業システム事業部 流通ソリューション部,アソシエイト,東京,okamoto.yohei166@contoso-sier.example.com
P167,後藤 陽子,産業システム事業部 製造ソリューション部,マネージャー,仙台,goto.yoko167@contoso-sier.example.com
P168,太田 誠,産業システム事業部 流通ソリューション部,シニアコンサルタント,福岡,ota.makoto168@contoso-sier.example.com
P169,福田 光,コンサルティング統括部 DX戦略室,テクニカルフェロー,大阪,fukuda.hikaru169@contoso-sier.example.com
P170,山本 泰輝,デジタルソリューション本部 データ&AI部,マネージャー,名古屋,yamamoto.taiki170@contoso-sier.example.com
P171,山田 涼介,金融システム事業部 銀行ソリューション部,コンサルタント,東京,yamada.ryosuke171@contoso-sier.example.com
P172,石川 真央,金融システム事業部 銀行ソリューション部,アソシエイト,大阪,ishikawa.mao172@contoso-sier.example.com
P173,岡田 航,金融システム事業部 銀行ソリューション部,シニアマネージャー,名古屋,okada.wataru173@contoso-sier.example.com
P174,岡田 真央,デジタルソリューション本部 クラウド基盤部,マネージャー,東京,okada.mao174@contoso-sier.example.com
P175,伊藤 愛,デジタルソリューション本部 クラウド基盤部,コンサルタント,大阪,ito.ai175@contoso-sier.example.com
P176,木村 大輔,デジタルソリューション本部 クラウド基盤部,シニアコンサルタント,東京,kimura.daisuke176@contoso-sier.example.com
P177,斎藤 遥,コンサルティング統括部 DX戦略室,シニアマネージャー,東京,saito.haruka177@contoso-sier.example.com
P178,佐々木 圭吾,産業システム事業部 製造ソリューション部,シニアコンサルタント,仙台,sasaki.keigo178@contoso-sier.example.com
P179,遠藤 美咲,金融システム事業部 銀行ソリューション部,シニアマネージャー,福岡,endo.misaki179@contoso-sier.example.com
P180,岡本 遥,デジタルソリューション本部 クラウド基盤部,テクニカルフェロー,名古屋,okamoto.haruka180@contoso-sier.example.com
P181,佐藤 麻衣,公共システム事業部 自治体ソリューション部,アソシエイト,東京,sato.mai181@contoso-sier.example.com
P182,後藤 亮,デジタルソリューション本部 クラウド基盤部,アソシエイト,東京,goto.ryo182@contoso-sier.example.com
P183,鈴木 紗英,産業システム事業部 製造ソリューション部,シニアコンサルタント,仙台,suzuki.sae183@contoso-sier.example.com
P184,西村 咲希,デジタルソリューション本部 データ&AI部,プリンシパル,東京,nishimura.saki184@contoso-sier.example.com
P185,遠藤 泰輝,産業システム事業部 流通ソリューション部,シニアマネージャー,東京,endo.taiki185@contoso-sier.example.com
P186,近藤 翔太,金融システム事業部 銀行ソリューション部,シニアコンサルタント,大阪,kondo.shota186@contoso-sier.example.com
P187,前田 健太,デジタルソリューション本部 クラウド基盤部,シニアコンサルタント,東京,maeda.kenta187@contoso-sier.example.com
P188,井上 愛,産業システム事業部 流通ソリューション部,マネージャー,福岡,inoue.ai188@contoso-sier.example.com
P189,鈴木 結衣,デジタルソリューション本部 クラウド基盤部,アソシエイト,名古屋,suzuki.yui189@contoso-sier.example.com
P190,佐々木 彩,デジタルソリューション本部 クラウド基盤部,シニアマネージャー,札幌,sasaki.aya190@contoso-sier.example.com
P191,山崎 遥,金融システム事業部 銀行ソリューション部,コンサルタント,札幌,yamazaki.haruka191@contoso-sier.example.com
P192,林 健太,デジタルソリューション本部 クラウド基盤部,プリンシパル,東京,hayashi.kenta192@contoso-sier.example.com
P193,斎藤 楓,産業システム事業部 製造ソリューション部,コンサルタント,東京,saito.kaede193@contoso-sier.example.com
P194,西村 麻衣,産業システム事業部 製造ソリューション部,シニアコンサルタント,東京,nishimura.mai194@contoso-sier.example.com
P195,橋本 陽介,デジタルソリューション本部 クラウド基盤部,マネージャー,名古屋,hashimoto.yosuke195@contoso-sier.example.com
P196,林 翔太,産業システム事業部 流通ソリューション部,コンサルタント,名古屋,hayashi.shota196@contoso-sier.example.com
P197,藤田 紗英,産業システム事業部 製造ソリューション部,プリンシパル,札幌,fujita.sae197@contoso-sier.example.com
P198,木村 奈々,デジタルソリューション本部 データ&AI部,コンサルタント,大阪,kimura.nana198@contoso-sier.example.com
P199,松本 結衣,金融システム事業部 銀行ソリューション部,プリンシパル,東京,matsumoto.yui199@contoso-sier.example.com
P200,池田 未来,金融システム事業部 銀行ソリューション部,マネージャー,東京,ikeda.mirai200@contoso-sier.example.com
